,Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Ef_pred,Facies_pred,Env_pred
0,4610.0,B-1,Echuca Shoals Fm,55.3259,1.4348,1.4169999999999998,12.04,2.6282,87.4786,,2,4,4
1,4610.5,B-1,Echuca Shoals Fm,61.7744,1.1341,1.0694,18.93,2.6688,93.8623,,1,2,4
2,4611.0,B-1,Echuca Shoals Fm,60.9437,1.1748,1.1022,20.12,2.6014,78.9452,,1,2,2
3,4611.5,B-1,Echuca Shoals Fm,67.9765,1.3287,1.2345,20.01,2.613,64.5839,,3,5,5
4,4612.0,B-1,Echuca Shoals Fm,86.1773,1.0648,1.036,21.62,2.6041,69.4141,,3,1,2
5,4612.5,B-1,Echuca Shoals Fm,80.2059,1.3382,1.3263,21.89,2.6021,73.5985,,1,1,2
6,4613.0,B-1,Echuca Shoals Fm,74.5949,1.6413,1.5482,21.34,2.6164,69.8498,,3,5,5
7,4613.5,B-1,Echuca Shoals Fm,78.5921,1.3767,1.3519999999999999,21.31,2.6413,91.6138,,1,1,4
8,4614.0,B-1,Echuca Shoals Fm,83.1176,1.5030000000000001,1.4596,20.82,2.6017,85.3235,,1,1,4
9,4614.5,B-1,Echuca Shoals Fm,51.7665,1.3676,1.3686,20.89,2.5649,88.2898,,1,4,4
10,4615.0,B-1,Echuca Shoals Fm,41.7301,3.7995,3.6336,17.08,2.6257,87.7482,,2,4,4
11,4615.5,B-1,Echuca Shoals Fm,34.8966,7.9456,7.6302,12.81,2.6669,85.6765,,2,2,2
12,4616.0,B-1,Echuca Shoals Fm,34.8966,4.8468,4.3843,10.95,2.6515,90.0752,,2,2,4
13,4616.5,B-1,Echuca Shoals Fm,69.7572,3.3937,3.0208,10.27,2.5986,88.6461,,1,4,4
14,4617.0,B-1,Echuca Shoals Fm,77.2774,2.6362,2.4311,11.93,2.5944,88.0406,,1,1,4
15,4617.5,B-1,Echuca Shoals Fm,92.6816,2.0229,2.0135,16.96,2.6016,87.5972,,1,1,4
16,4618.0,B-1,Echuca Shoals Fm,96.5485,2.519,2.4776,21.46,2.6096,89.486,,1,1,4
17,4618.5,B-1,Echuca Shoals Fm,92.6448,2.4654,2.3817,23.8,2.6194,84.2493,,1,1,4
18,4619.0,B-1,Echuca Shoals Fm,109.6966,2.3965,2.313,23.22,2.6012,84.3177,,1,1,4
19,4619.5,B-1,Echuca Shoals Fm,90.2774,2.0227,1.9979,25.16,2.5818,84.5695,,1,1,4
20,4620.0,B-1,Echuca Shoals Fm,95.4768,2.2403,2.2125,23.17,2.5728,83.056,,1,1,4
21,4620.5,B-1,Echuca Shoals Fm,89.0413,2.0154,1.9956,23.49,2.5898,84.6959,,1,1,4
22,4621.0,B-1,Echuca Shoals Fm,88.5246,2.062,2.0368,25.3,2.5799,87.7333,,1,1,4
23,4621.5,B-1,Echuca Shoals Fm,108.8449,2.2329,2.1485,23.81,2.5755,85.6424,,1,1,4
24,4622.0,B-1,Echuca Shoals Fm,83.5825,1.9596,1.9367,21.62,2.5841,85.0533,,1,1,4
25,4622.5,B-1,Echuca Shoals Fm,83.6616,2.3946,2.36,19.1,2.6446,86.2301,,1,1,4
26,4623.0,B-1,Echuca Shoals Fm,96.6212,2.4901,2.4177,21.35,2.6074,86.6173,,1,1,4
27,4623.5,B-1,Echuca Shoals Fm,92.9593,2.3631,2.3427,22.11,2.6118,83.3575,,1,1,4
28,4624.0,B-1,Echuca Shoals Fm,89.5729,2.5322,2.5066,22.06,2.6011,83.4199,,1,1,4
29,4624.5,B-1,Echuca Shoals Fm,92.2762,2.3695,2.396,24.86,2.612,85.9529,,1,1,4
30,4625.0,B-1,Echuca Shoals Fm,88.884,2.3889,2.3919,23.59,2.6259,85.4532,,1,1,4
31,4625.5,B-1,Echuca Shoals Fm,95.8807,2.3106,2.3094,21.65,2.6224,86.6726,,1,1,4
32,4626.0,B-1,Echuca Shoals Fm,92.0988,2.4661,2.4264,20.96,2.638,85.8261,,1,1,4
33,4626.5,B-1,Echuca Shoals Fm,88.0675,2.3537,2.3237,20.6,2.6213,86.5454,,1,1,4
34,4627.0,B-1,Echuca Shoals Fm,94.992,2.6955,2.6118,20.48,2.602,86.0171,,1,1,4
35,4627.5,B-1,Echuca Shoals Fm,75.6272,3.1941,2.9577,20.69,2.6178,85.2856,,1,1,4
36,4628.0,B-1,Echuca Shoals Fm,80.9467,3.2436,2.9139,19.46,2.6419,87.2499,,1,1,4
37,4628.5,B-1,Echuca Shoals Fm,98.1137,2.9698,2.8947,20.17,2.6379,86.5814,,1,1,4
38,4629.0,B-1,Echuca Shoals Fm,94.6806,2.6377,2.6591,19.25,2.6377,87.9816,,1,1,4
39,4629.5,B-1,Echuca Shoals Fm,93.8518,2.4318,2.4001,22.01,2.6283,86.9685,,1,1,4
40,4630.0,B-1,Echuca Shoals Fm,87.4434,2.4817,2.4567,20.15,2.6114,89.3175,,1,1,4
41,4630.5,B-1,Echuca Shoals Fm,91.8899,2.4114,2.3694,22.94,2.6242,85.8927,,1,1,4
42,4631.0,B-1,Echuca Shoals Fm,75.0088,2.351,2.3388,20.6,2.6496,88.4783,,1,1,4
43,4631.5,B-1,Echuca Shoals Fm,71.5129,2.5667,2.5376,22.31,2.6192,85.2097,,1,1,4
44,4632.0,B-1,Echuca Shoals Fm,87.71,2.4779,2.435,23.14,2.6398,87.1271,,1,1,4
45,4632.5,B-1,Echuca Shoals Fm,88.7332,2.2429,2.2178,24.4,2.6211,87.459,,1,1,4
46,4633.0,B-1,Echuca Shoals Fm,82.0906,2.0152,2.009,22.18,2.639,87.4453,,1,1,4
47,4633.5,B-1,Echuca Shoals Fm,83.7051,2.2969999999999997,2.2888,22.35,2.6426,85.98100000000002,,1,1,4
48,4634.0,B-1,Echuca Shoals Fm,82.1019,2.2142,2.2124,24.07,2.6284,86.8769,,1,1,4
49,4634.5,B-1,Echuca Shoals Fm,82.0656,2.5639,2.5164,21.79,2.5916,86.116,,1,1,4
50,4635.0,B-1,Echuca Shoals Fm,73.9846,2.5755,2.5535,22.21,2.6074,87.6987,,1,1,4
51,4635.5,B-1,Echuca Shoals Fm,90.4113,2.4304,2.4319,21.12,2.6119,90.4448,,1,1,4
52,4636.0,B-1,Echuca Shoals Fm,105.1342,2.525,2.5118,22.6,2.6082,91.0077,,1,1,4
53,4636.5,B-1,Echuca Shoals Fm,80.8171,2.4812,2.4737,24.04,2.6171,87.9386,,1,1,4
54,4637.0,B-1,Echuca Shoals Fm,82.5455,2.6034,2.6023,22.81,2.6094,87.085,,1,1,4
55,4637.5,B-1,Echuca Shoals Fm,73.1178,2.3983,2.4019999999999997,25.11,2.5977,89.4773,,1,1,4
56,4638.0,B-1,Echuca Shoals Fm,87.4133,2.4596,2.4414,23.33,2.6036,87.6363,,1,1,4
57,4638.5,B-1,Echuca Shoals Fm,84.6303,2.738,2.6419,24.64,2.6005,89.9575,,1,1,4
58,4639.0,B-1,Echuca Shoals Fm,96.189,2.4605,2.4343,22.74,2.6137,88.8351,,1,1,4
59,4639.5,B-1,Echuca Shoals Fm,83.5263,2.3583,2.3297,25.16,2.6238,91.6419,,1,1,4
60,4640.0,B-1,Echuca Shoals Fm,84.8374,2.4457,2.4151,25.38,2.6028,91.3704,,1,1,4
61,4640.5,B-1,Echuca Shoals Fm,84.6918,2.5241,2.4814,24.98,2.5921,89.5791,,1,1,4
62,4641.0,B-1,Echuca Shoals Fm,96.3585,2.6697,2.6319999999999997,21.92,2.6456,91.0897,,1,1,4
63,4641.5,B-1,Echuca Shoals Fm,96.6909,2.5228,2.4878,21.77,2.6266,90.2254,,1,1,4
64,4642.0,B-1,Echuca Shoals Fm,98.958,2.6091,2.5807,24.55,2.6209,91.0767,,1,1,4
65,4642.5,B-1,Echuca Shoals Fm,94.9846,2.6912,2.6667,23.37,2.6104,90.9,,1,1,4
66,4643.0,B-1,Echuca Shoals Fm,98.4559,2.5273,2.5124,22.92,2.6104,90.6669,,1,1,4
67,4643.5,B-1,Echuca Shoals Fm,92.1224,2.5603,2.5371,23.8,2.6021,87.2514,,1,1,4
68,4644.0,B-1,Echuca Shoals Fm,92.0783,2.5669,2.5241,25.39,2.5846,88.7707,,1,1,4
69,4644.5,B-1,Echuca Shoals Fm,95.9705,2.5754,2.5326,24.98,2.6017,92.7778,,1,1,4
70,4645.0,B-1,Echuca Shoals Fm,84.4499,2.5951,2.5693,23.79,2.615,92.0061,,1,1,4
