Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Electrofacies
4600,P-2,Jamieson Fm,66.451,3.8376,3.6067,13.8882,2.5715,81.8708,-999.25,2
4600.5,P-2,Jamieson Fm,54.4524,4.5844,4.2673,12.1851,2.5604,78.5466,-999.25,2
4601,P-2,Jamieson Fm,51.3234,4.9751,4.4704,12.086,2.5458,81.6343,-999.25,2
4601.5,P-2,Jamieson Fm,49.2121,5.1362,4.6478,11.5609,2.5479,78.2709,-999.25,2
4602,P-2,Jamieson Fm,68.4992,4.3777,4.0461,15.9469,2.5307,79.5989,-999.25,2
4602.5,P-2,Jamieson Fm,53.8835,6.4785,5.4315,12.058,2.5512,76.5186,-999.25,2
4603,P-2,Jamieson Fm,46.5473,6.4933,5.7553,11.6127,2.4911,77.2198,-999.25,2
4603.5,P-2,Jamieson Fm,56.6846,5.9735,5.1695,14.0613,2.5042,79.3415,-999.25,2
4604,P-2,Jamieson Fm,38.1803,6.9177,6.0008,11.7544,2.4235,79.6351,-999.25,2
4604.5,P-2,Jamieson Fm,48.9067,7.2311,5.9623,13.5503,2.4275,75.499,-999.25,2
4605,P-2,Jamieson Fm,38.811,7.6891,6.2354,12.4472,2.4349,81.2212,-999.25,2
4605.5,P-2,Jamieson Fm,44.6376,7.0385,5.9786,13.8765,2.435,75.9814,-999.25,2
4606,P-2,Jamieson Fm,59.2937,6.2691,5.5368,13.7579,2.4839,80.6436,-999.25,2
4606.5,P-2,Jamieson Fm,34.9158,7.4471,6.4408,11.5303,2.4571,72.7102,-999.25,2
4607,P-2,Jamieson Fm,50.9723,7.2146,6.3859,12.3839,2.5067,73.4753,-999.25,2
4607.5,P-2,Jamieson Fm,29.6819,8.944,7.7743,10.0369,2.529,69.4241,-999.25,2
4608,P-2,Jamieson Fm,55.0414,6.9667,6.9656,10.4906,2.5211,73.0004,-999.25,2
4608.5,P-2,Jamieson Fm,35.067,7.5185,6.513,10.054,2.5432,74.2064,-999.25,2
4609,P-2,Jamieson Fm,29.186,7.4021,6.9065,8.3189,2.5004,67.9118,-999.25,2
4609.5,P-2,Jamieson Fm,63.1273,5.2275,5.04,12.6863,2.5309,74.6347,-999.25,2
4610,P-2,Jamieson Fm,42.1684,6.4639,6.0499,10.8565,2.5176,66.3711,-999.25,2
4610.5,P-2,Jamieson Fm,27.3636,7.6019,6.7797,8.9661,2.5018,66.0014,-999.25,2
4611,P-2,Jamieson Fm,35.8409,7.6261,6.9152,9.2988,2.5122,65.6372,-999.25,2
4611.5,P-2,Jamieson Fm,45.7798,6.6371,5.9478,10.9366,2.5106,70.0952,-999.25,2
4612,P-2,Jamieson Fm,51.2001,6.2955,5.8614,11.4779,2.5052,74.2261,-999.25,2
4612.5,P-2,Jamieson Fm,43.7456,7.1587,6.3931,10.3824,2.5551,73.4506,-999.25,2
4613,P-2,Jamieson Fm,35.9879,7.7223,6.9944,9.6277,2.5158,73.2228,-999.25,2
4613.5,P-2,Jamieson Fm,40.5161,7.5621,6.9735,9.8982,2.5261,77.3806,-999.25,2
4614,P-2,Jamieson Fm,45.7357,7.4705,6.9865,10.3323,2.5324,74.0689,-999.25,2
4614.5,P-2,Jamieson Fm,35.1103,8.9642,8.1033,9.4932,2.5427,73.16,-999.25,2
4615,P-2,Jamieson Fm,44.3756,7.4828,6.9442,9.6639,2.5297,73.7489,-999.25,2
4615.5,P-2,Jamieson Fm,34.0707,7.4208,7.102,8.9528,2.5353,69.798,-999.25,2
4616,P-2,Jamieson Fm,44.6879,7.3171,6.8797,9.0958,2.5171,72.9198,-999.25,2
4616.5,P-2,Jamieson Fm,29.7027,8.3987,7.7687,8.4897,2.5296,72.9979,-999.25,2
4617,P-2,Jamieson Fm,32.7756,8.6959,7.9473,8.3486,2.5165,73.0293,-999.25,2
4617.5,P-2,Jamieson Fm,41.8241,7.9113,7.4342,8.0192,2.5461,69.2283,-999.25,2
4618,P-2,Jamieson Fm,38.631,7.6597,7.209,9.009,2.5637,66.5474,-999.25,2
4618.5,P-2,Jamieson Fm,35.1865,7.3244,7.2253,8.1306,2.5423,69.757,-999.25,2
4619,P-2,Jamieson Fm,37.2804,7.5559,6.9015,8.9477,2.5486,73.4943,-999.25,2
4619.5,P-2,Jamieson Fm,27.5796,8.1878,7.6575,7.5899,2.569,68.0134,-999.25,2
4620,P-2,Jamieson Fm,55.5743,5.565,5.6432,10.3637,2.5508,74.0141,-999.25,2
4620.5,P-2,Jamieson Fm,43.0384,7.4651,6.8579,8.3203,2.5512,73.4197,-999.25,1
4621,P-2,Jamieson Fm,26.0417,10.4781,8.6268,6.2101,2.6189,65.8542,-999.25,1
4621.5,P-2,Jamieson Fm,52.9546,5.916,5.622,8.9344,2.5469,65.9898,-999.25,1
4622,P-2,Jamieson Fm,75.3822,4.1581,3.9825,13.0714,2.542,76.1834,-999.25,1
4622.5,P-2,Jamieson Fm,34.4176,5.3867,5.2043,9.6477,2.5221,74.9058,-999.25,1
4623,P-2,Jamieson Fm,36.6354,6.6171,5.9885,8.0722,2.5318,68.3734,-999.25,1
4623.5,P-2,Jamieson Fm,50.1176,6.958,6.4474,8.0863,2.5594,72.7065,-999.25,1
