Depth,Well,Formation,GR,NPHI,RHOB,DTCO,DTSM,Environment
4600,P-2,Jamieson Fm,66.451,13.8882,2.5715,81.8708,-999.25,4
4600.5,P-2,Jamieson Fm,54.4524,12.1851,2.5604,78.5466,-999.25,4
4601,P-2,Jamieson Fm,51.3234,12.086,2.5458,81.6343,-999.25,4
4601.5,P-2,Jamieson Fm,49.2121,11.5609,2.5479,78.2709,-999.25,4
4602,P-2,Jamieson Fm,68.4992,15.9469,2.5307,79.5989,-999.25,4
4602.5,P-2,Jamieson Fm,53.8835,12.058,2.5512,76.5186,-999.25,4
4603,P-2,Jamieson Fm,46.5473,11.6127,2.4911,77.2198,-999.25,4
4603.5,P-2,Jamieson Fm,56.6846,14.0613,2.5042,79.3415,-999.25,0
4604,P-2,Jamieson Fm,38.1803,11.7544,2.4235,79.6351,-999.25,0
4604.5,P-2,Jamieson Fm,48.9067,13.5503,2.4275,75.499,-999.25,0
4605,P-2,Jamieson Fm,38.811,12.4472,2.4349,81.2212,-999.25,0
4605.5,P-2,Jamieson Fm,44.6376,13.8765,2.435,75.9814,-999.25,0
4606,P-2,Jamieson Fm,59.2937,13.7579,2.4839,80.6436,-999.25,0
4606.5,P-2,Jamieson Fm,34.9158,11.5303,2.4571,72.7102,-999.25,0
4607,P-2,Jamieson Fm,50.9723,12.3839,2.5067,73.4753,-999.25,0
4607.5,P-2,Jamieson Fm,29.6819,10.0369,2.529,69.4241,-999.25,0
4608,P-2,Jamieson Fm,55.0414,10.4906,2.5211,73.0004,-999.25,0
4608.5,P-2,Jamieson Fm,35.067,10.054,2.5432,74.2064,-999.25,0
4609,P-2,Jamieson Fm,29.186,8.3189,2.5004,67.9118,-999.25,0
4609.5,P-2,Jamieson Fm,63.1273,12.6863,2.5309,74.6347,-999.25,0
4610,P-2,Jamieson Fm,42.1684,10.8565,2.5176,66.3711,-999.25,0
4610.5,P-2,Jamieson Fm,27.3636,8.9661,2.5018,66.0014,-999.25,0
4611,P-2,Jamieson Fm,35.8409,9.2988,2.5122,65.6372,-999.25,0
4611.5,P-2,Jamieson Fm,45.7798,10.9366,2.5106,70.0952,-999.25,0
4612,P-2,Jamieson Fm,51.2001,11.4779,2.5052,74.2261,-999.25,0
4612.5,P-2,Jamieson Fm,43.7456,10.3824,2.5551,73.4506,-999.25,0
4613,P-2,Jamieson Fm,35.9879,9.6277,2.5158,73.2228,-999.25,0
4613.5,P-2,Jamieson Fm,40.5161,9.8982,2.5261,77.3806,-999.25,0
4614,P-2,Jamieson Fm,45.7357,10.3323,2.5324,74.0689,-999.25,0
4614.5,P-2,Jamieson Fm,35.1103,9.4932,2.5427,73.16,-999.25,0
4615,P-2,Jamieson Fm,44.3756,9.6639,2.5297,73.7489,-999.25,0
4615.5,P-2,Jamieson Fm,34.0707,8.9528,2.5353,69.798,-999.25,0
4616,P-2,Jamieson Fm,44.6879,9.0958,2.5171,72.9198,-999.25,0
4616.5,P-2,Jamieson Fm,29.7027,8.4897,2.5296,72.9979,-999.25,0
4617,P-2,Jamieson Fm,32.7756,8.3486,2.5165,73.0293,-999.25,0
4617.5,P-2,Jamieson Fm,41.8241,8.0192,2.5461,69.2283,-999.25,0
4618,P-2,Jamieson Fm,38.631,9.009,2.5637,66.5474,-999.25,0
4618.5,P-2,Jamieson Fm,35.1865,8.1306,2.5423,69.757,-999.25,0
4619,P-2,Jamieson Fm,37.2804,8.9477,2.5486,73.4943,-999.25,0
4619.5,P-2,Jamieson Fm,27.5796,7.5899,2.569,68.0134,-999.25,0
4620,P-2,Jamieson Fm,55.5743,10.3637,2.5508,74.0141,-999.25,0
4620.5,P-2,Jamieson Fm,43.0384,8.3203,2.5512,73.4197,-999.25,0
4621,P-2,Jamieson Fm,26.0417,6.2101,2.6189,65.8542,-999.25,0
4621.5,P-2,Jamieson Fm,52.9546,8.9344,2.5469,65.9898,-999.25,0
4622,P-2,Jamieson Fm,75.3822,13.0714,2.542,76.1834,-999.25,0
4622.5,P-2,Jamieson Fm,34.4176,9.6477,2.5221,74.9058,-999.25,0
4623,P-2,Jamieson Fm,36.6354,8.0722,2.5318,68.3734,-999.25,0
4623.5,P-2,Jamieson Fm,50.1176,8.0863,2.5594,72.7065,-999.25,0
4624,P-2,Jamieson Fm,71.9488,10.9916,2.5417,71.0604,-999.25,0
4624.5,P-2,Jamieson Fm,42.9452,9.3317,2.5524,70.4828,-999.25,0
4625,P-2,Jamieson Fm,50.2107,9.9968,2.5547,72.7991,-999.25,0
4625.5,P-2,Jamieson Fm,44.5554,10.8311,2.5608,70.6269,-999.25,0
4626,P-2,Jamieson Fm,33.1231,7.9354,2.56,64.7344,-999.25,0
4626.5,P-2,Jamieson Fm,32.7819,7.9029,2.5732,70.9118,-999.25,0
4627,P-2,Jamieson Fm,64.9987,11.4595,2.5557,70.3865,-999.25,0
4627.5,P-2,Jamieson Fm,58.8869,11.8169,2.543,77.6977,-999.25,0
4628,P-2,Jamieson Fm,37.9069,9.5465,2.5342,65.2437,-999.25,0
4628.5,P-2,Montara Fm,91.7046,15.6666,2.683,76.8895,-999.25,0
4629,P-2,Montara Fm,98.6854,19.7357,2.7179,80.8969,-999.25,0
4629.5,P-2,Montara Fm,116.4731,24.3653,2.6128,86.7717,-999.25,0
4630,P-2,Montara Fm,113.1672,24.8738,2.6276,89.1019,-999.25,0
4630.5,P-2,Montara Fm,103.9047,22.1947,2.6354,84.0463,-999.25,4
4631,P-2,Montara Fm,91.0845,19.6886,2.6613,77.7979,-999.25,4
4631.5,P-2,Montara Fm,94.9658,19.4116,2.6342,78.6802,-999.25,4
4632,P-2,Montara Fm,91.5697,15.7346,2.6589,78.7131,-999.25,4
4632.5,P-2,Montara Fm,88.0567,17.7633,2.6502,77.6448,-999.25,4
4633,P-2,Montara Fm,99.1983,16.1787,2.6549,80.9688,-999.25,4
4633.5,P-2,Montara Fm,114.0077,19.5428,2.6547,83.3287,-999.25,4
4634,P-2,Montara Fm,115.8139,22.3294,2.6355,85.9056,-999.25,4
4634.5,P-2,Montara Fm,109.4419,22.3734,2.6444,85.0261,-999.25,4
4635,P-2,Montara Fm,109.7445,23.1755,2.6839,82.9853,-999.25,4
4635.5,P-2,Montara Fm,116.6268,22.6217,2.6303,85.5064,-999.25,4
4636,P-2,Montara Fm,109.8986,18.0566,2.6309,80.6659,-999.25,4
4636.5,P-2,Montara Fm,77.1397,12.6565,2.6319,74.7795,-999.25,4
4637,P-2,Montara Fm,76.4278,12.2775,2.6272,75.361,-999.25,4
4637.5,P-2,Montara Fm,81.686,12.3735,2.633,74.0605,-999.25,4
